date,CPI,INDPRO,Inflation_YoY,Growth_YoY,Inflation_Delta,Growth_Delta,Regime
2001-03-01,176.1,91.1162,0.029824561403508643,-0.011222957252491561,-0.0045356281699509005,-0.01862067542572099,Deflation
2001-04-01,176.4,90.7891,0.03218256290228205,-0.020602186217959284,-0.005029486713783893,-0.024578676855727233,Deflation
2001-05-01,177.3,90.3555,0.035630841121495394,-0.02791181055600911,0.0003367234744364733,-0.022243351690724555,Stagflation
2001-06-01,177.7,89.8784,0.03193960511033689,-0.033422163718917375,0.0021150437068282457,-0.022199206466425814,Stagflation
2001-07-01,177.4,89.3028,0.027214823393167498,-0.03773511714911293,-0.004967739509114555,-0.017132930931153645,Deflation
2001-08-01,177.4,89.2003,0.027214823393167498,-0.036215277665228585,-0.008416017728327896,-0.008303467109219476,Deflation
2001-09-01,178.1,88.7485,0.025921658986175045,-0.045501574545704804,-0.006017946124161844,-0.012079410826787429,Deflation
2001-10-01,177.6,88.5052,0.02127659574468077,-0.04440502321905382,-0.005938227648486727,-0.00666990606994089,Deflation
2001-11-01,177.5,87.97,0.01894374282433997,-0.05044913960783126,-0.008271080568827527,-0.014233861942602677,Deflation
2001-12-01,177.4,87.9324,0.01603665521191311,-0.04774776238202749,-0.009885003774261936,-0.0022461878363226884,Deflation
2002-01-01,177.7,88.5176,0.011958997722095743,-0.03682618441383212,-0.009317598022585027,0.007578838805221699,Goldilocks
2002-02-01,178.0,88.5278,0.011363636363636465,-0.030399744149724905,-0.007580106460703506,0.020049395458106356,Goldilocks
2002-03-01,178.5,89.1686,0.013628620102214661,-0.021374903694403535,-0.0024080351096984476,0.026372858687623957,Goldilocks
2002-04-01,179.3,89.604,0.01643990929705219,-0.013053329089064758,0.004480911574956448,0.02377285532476736,Reflation
2002-05-01,179.5,89.964,0.012408347433727984,-0.00433288510383989,0.0010447110700915196,0.026066859045885016,Reflation
2002-06-01,179.6,90.7061,0.010692177827799743,0.00920910919642548,-0.002936442274414919,0.030584012890829015,Goldilocks
2002-07-01,180.0,90.6769,0.01465614430665152,0.015386975548359105,-0.0017837649904006714,0.028440304637423863,Goldilocks
2002-08-01,180.5,90.5762,0.01747463359639223,0.015424836015125454,0.005066286162664246,0.019757721118965343,Reflation
2002-09-01,180.8,90.6531,0.01516002245929271,0.021460644405257412,0.004467844631492968,0.012251535208831932,Reflation
2002-10-01,181.2,90.4643,0.020270270270270174,0.022135422551443185,0.005614125963618655,0.006748447003084079,Reflation
2002-11-01,181.5,90.9711,0.022535211267605604,0.034115039217915255,0.005060577671213373,0.0186902032027898,Reflation
2002-12-01,181.8,90.4652,0.024802705749718212,0.02880394484854265,0.009642683290425502,0.007343300443285239,Reflation
2003-01-01,182.6,91.2361,0.02757456387169399,0.03071140654513904,0.007304293601423817,0.008575983993695857,Reflation
2003-02-01,183.6,91.3445,0.03146067415730336,0.031817124112425654,0.008925462889697755,-0.0022979151054896008,Stagflation
2003-03-01,183.9,91.1044,0.03025210084033625,0.021709435832793167,0.005449395090618037,-0.007094509015749484,Stagflation
2003-04-01,183.2,90.5617,0.02175125488008911,0.010688138922369639,-0.005823308991604881,-0.020023267622769403,Deflation
2003-05-01,182.9,90.537,0.018941504178273005,0.0063692143524076705,-0.012519169979030353,-0.025447909760017984,Deflation
2003-06-01,183.1,90.6527,0.01948775055679297,-0.0005887145406980876,-0.010764350283543278,-0.022298150373491255,Deflation
2003-07-01,183.7,91.1185,0.020555555555555438,0.004870038565500057,-0.0011956993245336722,-0.005818100356869582,Deflation
2003-08-01,184.5,90.9197,0.02216066481994461,0.0037923869625795525,0.0032191606416716034,-0.002576827389828118,Stagflation
