date,Regime,Dynamic_Returns,Dynamic_Equity,60_40_Returns,60_40_Equity
1971-04-02,Goldilocks,0.001693,1.001693,0.0005446888888889,1.1645270764533906
1971-04-05,Goldilocks,0.002287,1.003983871891,0.000621565079365,1.165250905818089
1971-04-06,Goldilocks,0.007144,1.0111563326717892,0.0052152888888888,1.1713280259199699
1971-04-07,Goldilocks,0.00463,1.0158379864920595,0.0034265714285714,1.1753416650670723
1971-04-08,Goldilocks,0.001177,1.0170336278021606,-0.0003245936507936,1.1749601566250782
1971-04-13,Goldilocks,0.000972,1.0257998739778758,0.0009539936507936,1.1760810611544341
1971-04-14,Goldilocks,0.003787,1.0296845781006299,0.0009637873015873,1.1772145531468121
1971-04-15,Goldilocks,0.001451,1.031178650423454,0.0001226634920634,1.177358954394809
1971-04-16,Goldilocks,-0.00029,1.030879608614831,-0.000641619047619,1.1766035384637847
1971-04-19,Goldilocks,0.005025,1.0360597786481207,0.0014283333333333,1.1782841205178904
1971-04-20,Goldilocks,-0.003846,1.03207509273944,-0.004732838095238,1.1727074925452894
1971-04-21,Goldilocks,-0.002413,1.0295846955406598,-0.003311926984127,1.1688235709562407
1971-04-22,Goldilocks,0.001935,1.031576941926531,0.0018165555555555,1.1709468039075255
1971-04-23,Goldilocks,0.004732,1.0364583640157274,0.0032145968253968,1.174710925786075
1971-04-26,Goldilocks,-0.001057,1.035362827524963,-0.0002589619047618,1.174406720407189
1971-04-27,Goldilocks,0.004329,1.0398449132053185,0.002692638095238,1.1775689726818608
1971-04-28,Goldilocks,0.00364,1.0436299486893859,0.0025590793650793,1.1805824651408086
1971-04-29,Goldilocks,-0.001336,1.042235659077937,-0.0029452507936507,1.1771053536983824
1971-04-30,Goldilocks,-0.006499,1.0354621695295894,-0.004082892063492,1.1722993595918734
1971-05-03,Goldilocks,-0.006349,1.028888020215246,-0.0056717809523809,1.165650334413652
1971-05-04,Goldilocks,0.004841,1.033868867121108,0.0002038063492063,1.1658879013527599
1971-05-05,Goldilocks,-9.6e-05,1.0337696157098644,-0.0002382349206349,1.165610146141112
1971-05-06,Goldilocks,-0.0053,1.028290636746602,-0.0036403174603174,1.1613669551741912
1971-05-07,Goldilocks,-0.003487,1.0247049872962666,-0.0011529936507936,1.1600279064486338
1971-05-10,Goldilocks,-0.004958,1.0196244999692516,-0.0020360698412698,1.1576660086132824
1971-05-11,Goldilocks,0.00254,1.0222143461991735,0.000503365079365,1.1582487372555863
1971-05-12,Goldilocks,0.002729,1.025003969149951,-0.0007818063492063,1.1573432110388397
1971-05-13,Goldilocks,-0.002041,1.022911936048916,-0.0044819015873015,1.1521561126642321
1971-05-14,Goldilocks,-0.004674,1.0181308456598235,-0.0032613841269841,1.1483984890065813
1971-05-17,Goldilocks,-0.014871,1.0029902218540163,-0.0110583142857143,1.135699137589907
1971-05-18,Goldilocks,0.00139,1.0043843782623934,-0.0013004444444444,1.134222223955868
1971-05-19,Goldilocks,0.00238,1.006774813082658,0.0029327619047619,1.13754862768582
1971-05-20,Goldilocks,0.002375,1.0091659032637292,0.0046080158730158,1.1427904698185236
