,Return (Ann),Volatility,Sharpe,Sortino,Max DD
Dynamic,0.08638824232917974,0.0893724767469189,0.49487886830824696,0.4963439716836628,-0.27028199518167384
60/40,0.07354947820192059,0.1073247109411793,0.31788615983019514,0.42154305234927947,-0.3295153669076291
Stocks,0.08322501166463026,0.17463146789014194,0.30153030813858855,0.3865936778386859,-0.5670145057558617
Bonds,0.06377128274223298,0.07572333966182314,0.29137275643738064,0.411649164260048,-0.3030034686949391
