,Ann. Return,Volatility,Sharpe,Sortino,Max DD
Dynamic Strategy,0.078194624375604,0.08730366254044507,0.4073230187081748,0.4019775747586761,-0.2767584041500402
60/40 Benchmark,0.07675819854993289,0.10732053226361847,0.31794725929251405,0.4216076601548515,-0.32951536690763655
