,Return (Ann),Volatility,Sharpe,Sortino,Max DD
Dynamic,0.07720991862531612,0.08730366254044507,0.4073230140435343,0.4019775747586761,-0.2767584041500402
60/40,0.07355502329583108,0.10732053226361847,0.3179472563307289,0.4216076601548515,-0.32951536690763655
Stocks,0.07260091220593567,0.17105468065003757,0.2466324286483085,0.3130472536927477,-0.5938605038693985
Bonds,0.06374152747382378,0.07572065460500044,0.2910177217086859,0.41115347502645666,-0.3030034686949415
