,Ann. Return,Volatility,Sharpe,Sortino,Max DD
Dynamic (Goldilocks),0.12931832558139536,0.1435222507603334,0.6061336371389716,0.828968701759815,-0.31533038966456167
60/40 (Goldilocks),0.10312702894056734,0.09350185802417836,0.6501450387623311,0.9169180938102413,-0.17625714254016242
Dynamic (Reflation),0.04748983469011207,0.029841564724736338,0.3069550328495125,0.3506008612915433,-0.006479153857528737
60/40 (Reflation),0.015991403340012447,0.10919526855342392,-0.20427584097927606,-0.244927253348109,-0.2537190147691221
Dynamic (Stagflation),0.03227980966956339,0.04005030033010061,-0.368343516753725,-0.08325625389279522,-0.09813557162176406
60/40 (Stagflation),0.04809285131701234,0.09797012096796578,0.010895465345222836,0.015610272887915144,-0.32822357065632984
Dynamic (Deflation),0.10150467236467113,0.08622460152127324,0.6839975538989966,0.9983337574898608,-0.15177808006265103
60/40 (Deflation),0.1316872474074064,0.12395094941747735,0.7190833787017036,0.9609173958778147,-0.24814480626013435
